,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Mr Steven Parr,P736165181,Current,R&D,Research & Development / Engineering
,,,Mr Vincent Benoist,P736165206,Current,R&D,Research & Development / Engineering
,,,Mr Richard Graham,P670760512,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Juan Inigo,P736165179,Current,R&D,Research & Development / Engineering
,,,Mr Okan Ozen,P736165169,Current,R&D,Research & Development / Engineering
,,,Mr Paul Pitcher,P736165163,Current,R&D,Research & Development / Engineering
,,,Mr Marcos Suarez,P736165201,Current,R&D,Research & Development / Engineering
,,,Mr Ilias Tapeinos,P736165160,Current,R&D,Research & Development / Engineering
,,,Bastian Tietjen,P736165176,Current,R&D,Research & Development / Engineering
,,,Mr Oliver Turnbull,P736165513,Current,R&D,Research & Development / Engineering
,,,Mr Peter Meincke,P736165205,Current,Oper,Operations & Production & Manufacturing
,,,Brandon Friedenstein,P736165172,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Jonathan Hulme,P736165202,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Casper Le,P736165159,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Elliott Doyle,P736165204,Current,OthDep,Other or unspecified department
,,,Mr Chris Hamar,P736165168,Current,OthDep,Other or unspecified department
,,,Mr Flemming Nyboe,P380235753,Current,OthDep,Other or unspecified department
,,,Mr Matteo Suatoni,P736165157,Current,OthDep,Other or unspecified department
886.,LOBAIR SL,ESB85756708,Ms Nuria Marquez Moya,P020543423,Current,BoD,Board of Directors
,,,Ms Maria De Los Angeles Lobo Sanz,P677744248,Current,SenMan,Senior management
887.,TOGETHER INDUSTRY ROMANIA S.R.L.,RO29416265,Mr Patrice Rives,P498289851,Current,SenMan,Senior management
,,,MCKINLEY INVESTMENT SARL,CVA0AAHLFA,Current,OthDep,Other or unspecified department
888.,SKY HIGH LXIX LEASING DESIGNATED ACTIVITY COMPANY,IE600953,Mr Kai Sun,P648603517,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhidong (David) Wang,P301107823,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Xuelin (Liam) Yu,P300615923,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
889.,UMS SKELDAR AB,SE5568292949,Ms Karin Ann-Kristin Adolfsson,P016255874,Current,BoD,Board of Directors
,,,Mr Torsten Oehman,P687146854,Current,BoD,Board of Directors
,,,Mr Stefan Peller,P110498499,Current,BoD,Board of Directors
,,,Mr Stefan Peller,P110498499,Current,Proxy,Proxyholders
,,,Mr Per-Erik Johan Cardell,P385300154,Current,Proxy,Proxyholders
,,,Carl Oskar Letellier Foucard,P705342904,Current,Proxy,Proxyholders
,,,Bo Peter Richard Hjelmberg,P705342903,Current,Proxy,Proxyholders
,,,Mr Per Axel Gustav Cavalli-Bjoerkman,P438295441,Current,SenMan,Senior management
890.,PRIMOCO UAV SE,CZ03794393,Mr Ladislav Semetkovsky,P070012557,Current,BoD,Board of Directors
,,,Mr Ladislav Semetkovsky,P070012557,Current,SenMan,Senior management
,,,Ing. Gabriel Fueloepp,P041052328,Current,SupB,Supervisory Board
,,,Mr Lukas Trzaskalik,P694282805,Current,Sales,Sales & Retail
891.,AVIA SERVICE KROSNO SP. Z O.O.,PL382758420,Mr Krzysztof Lampert,P498211645,Current,ExeB,Executive Board
,,,Professor Aiping Luo,P341866831,Current,ExeB,Executive Board
,,,Mr Wojciech Lampert,P470664594,Current,LegDep,Legal/Compliance/Risk department
892.,AS AIR LEASE 167 (IRELAND) LIMITED,IE661934,Ms Annemarie Fleming,P121369255,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Peter Hopkins,P699279851,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Brendan McCauley,P206834392,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Fiona De Lacy Murphy,P130065476,Current,"BoD,SenMan",Board of Directors; Senior management
,,,WALKERS CORPORATE SERVICES (IRELAND) LIMITED,C286301788,Current,SenMan,Senior management
893.,CALEDONIAN AIRBORNE SYSTEMS LIMITED,GB02207626,Mr Laith Samarai,P171528168,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Laith Samarai,P171528168,Current,SenMan,Senior management
,,,Mr David Abel Smith,P056274119,Current,SenMan,Senior management
,,,Mr David Abel Smith,P056274119,Current,"SenMan,AdmDep",Senior management; Administration department
894.,ELECTRONICS AEROSPACE S.R.L.,IT03213210614,Mr Agostino Feola,P087312492,Current,SenMan,Senior management
895.,AB AERO TECH INDUSTRI I SODERMANLAND,SE5565679197,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
896.,GAZC AEROESTRUCTURAS INTEGRALES SOCIEDAD LIMITADA.,ESB90082900,Mr Jesus Huerta De Mora,P002614673,Current,BoD,Board of Directors
,,,Mr David San Jose Villa,P042255311,Current,BoD,Board of Directors
897.,"MANUFACTURE COMPOSITES DU PORTUGAL M.C.P., LDA",PT514871709,Mr Jacques Moniot,P430586053,Current,OthDep,Other or unspecified department
898.,SKY HIGH LXXVI LEASING DESIGNATED ACTIVITY COMPANY,IE609553,Mr Kai Sun,P648603517,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Zhidong (David) Wang,P301107823,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Xuelin (Liam) Yu,P300615923,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
899.,ARBOREA INTELLBIRD SOCIEDAD LIMITADA.,ESB37523297,Mr Carlos Jose Bernabeu Gonzalez,P043353734,Current,BoD,Board of Directors
,,,Mr Carlos Jose Bernabeu Gonzalez,P043353734,Current,SenMan,Senior management
,,,Mr D. Antonio Barrenechea Elorrieta,P042078553,Current,BoD,Board of Directors
,,,Mr Eduardo Estevez Gudino,P042391276,Current,BoD,Board of Directors
,,,Mr Prudencio Herrero Acebo,P106094785,Current,BoD,Board of Directors
,,,Mr Jose Luis Quiros Cuevas,P066962995,Current,BoD,Board of Directors
,,,REUNION DE SOCIEDADES PARTICIPADAS SL,CVA0291353,Current,BoD,Board of Directors
,,,Ms Casilda Sanchez Lucas,P342057656,Current,BoD,Board of Directors
,,,Mr Jose Luis Vecilla Camazon,P335145990,Current,BoD,Board of Directors
,,,Mr Jose Luis Vecilla Camazon,P335145990,Current,SenMan,Senior management
,,,Mr Rahul Hariram Dayaram Idnani,P464349494,Current,OthDep,Other or unspecified department
,,,Mr Rahul Hariram Dayaram Idnani,P464349494,Current,SpecPos,Other specific positions
900.,JIN SHAN 16 IRELAND COMPANY LIMITED,IE587492,Ms Caroline Mary Lucy Devlin,P007265530,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Roisin Dixon,P041839631,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Ling Li,P308212610,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Lu Zhendong,P385396897,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
901.,BELGRAVER MIDDLE EAST B.V.,NL32082285,Mr Andreas Schuster,P200101595,Current,BoD,Board of Directors
,,,Mr Andreas Schuster,P200101595,Current,ExeB,Executive Board
902.,ASL CAMO LIMITED,IE577822,Mr David William Andrew,P051734624,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Mark O'kelly,P041935764,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Mary Townsend,P458835491,Current,SenMan,Senior management
903.,ALENIA AERMACCHI S.P.A.,IT03902621212,Mr Francesco Amicucci,P454153301,Current,BoD,Board of Directors
,,,Mr Maurizio Mose Carboni,P204283015,Current,BoD,Board of Directors
,,,Mr Maurizio Mose Carboni,P204283015,Current,SenMan,Senior management
,,,Mr Maurizio Mose Carboni,P204283015,Current,SenMan,Senior management
,,,Ms Paola Moschini,P159570179,Current,BoD,Board of Directors
,,,Mr Claudio Coen,P206821683,Current,AudC,Audit Committee
,,,Ms Barbara Cavalieri,P206429587,Current,AudC,Audit Committee
,,,Ms Sara Fornasiero,P348091399,Current,AudC,Audit Committee
,,,Mr Paolo Prandi,P014331080,Current,AudC,Audit Committee
,,,Mr Bernardino Spagnoli,P206448563,Current,AudC,Audit Committee
,,,Mr Leonardo Aquilani,P206829799,Current,SenMan,Senior management
,,,Mr Francesco Attucci,P159258179,Current,SenMan,Senior management
,,,Mr Arturo Carpentieri,P214866446,Current,SenMan,Senior management
,,,Mr Gaetano Cerracchio,P119255825,Current,SenMan,Senior management
,,,Mr Massimo Chiominto,P159258314,Current,SenMan,Senior management
,,,Mr Luca Delle Site,P071259405,Current,SenMan,Senior management
,,,Mr Antonio Di Lorenzo,P462383533,Current,SenMan,Senior management
,,,Ms Augusta Giannotti,P407512331,Current,SenMan,Senior management
,,,Mr Antonio Pasquale Grassano,P407427176,Current,SenMan,Senior management
,,,Mr Gaetano Grimaldi,P258430846,Current,SenMan,Senior management
,,,Ms Simona La Posta,P462396674,Current,SenMan,Senior management
,,,Ms Giuseppina Latorre,P432911567,Current,SenMan,Senior management
,,,Ms Marina Marinucci,P048542229,Current,SenMan,Senior management
,,,Ms Danila Menzione,P462403350,Current,SenMan,Senior management
,,,Ms Loredana Miglietti,P258592230,Current,SenMan,Senior management
,,,Mr Vincenzo Prata,P258649163,Current,SenMan,Senior management
,,,Mr Armando Sestili,P219950960,Current,SenMan,Senior management
,,,Mr Corrado Talamo,P206465111,Current,SenMan,Senior management
,,,Mr Vincenzo Troncone,P290771161,Current,SenMan,Senior management
904.,DAE LEASING (IRELAND) 31 LIMITED,IE604579,Ms Orla Elisabeth Gillen,P238596489,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Lisa Lyons,P514659522,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Matsack Trust Limited,C009670885,Current,SenMan,Senior management
905.,AS AIR LEASE 163 (IRELAND) LIMITED,IE662013,Ms Annemarie Fleming,P121369255,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Peter Hopkins,P699279851,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Brendan McCauley,P206834392,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Fiona De Lacy Murphy,P130065476,Current,"BoD,SenMan",Board of Directors; Senior management
,,,PAFS IRELAND LIMITED,C035521607,Current,SenMan,Senior management
,,,WALKERS CORPORATE SERVICES (IRELAND) LIMITED,C286301788,Current,SenMan,Senior management
906.,NIKI ROTOR AVIATION OOD,BG201104146,Ms Miglena Nikolaeva Kopcheva,P368939374,Current,SenMan,Senior management
907.,ELYTRON AERONAUTICA S.R.L.,IT10358740016,Mr Stefano Canelotto,P119514872,Current,SenMan,Senior management
,,,Mr Angelo Raffaele Lorusso,P014473084,Current,SenMan,Senior management
908.,KUVA SPACE OY,FI27592253,Mr Juha-Matti Liukkonen,P043639997,Current,BoD,Board of Directors
,,,Mr Juha Tapani Ilola,P156611948,Current,BoD,Board of Directors
,,,Mr Aarne Simo Juhani Oja,P349148341,Current,BoD,Board of Directors
,,,Mr Tuomas Tapani Tikka,P339621142,Current,BoD,Board of Directors
,,,Mr Jarkko Ensio Antila,P196038464,Current,SenMan,Senior management
909.,ROFFORD LIMITED,IE681703,Ms Karina McGrath,P337155864,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Rhys John Owens,P007153058,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
910.,INDUSTRIALE SRL,IT09510611008,Mr Florin Nastasa,P098592126,Current,SenMan,Senior management
,,,Mr Berto Barbieri,P071415870,Current,SenMan,Senior management
911.,ORBITAL EXPRESS LAUNCH APS,DK38106260,Mr Christopher Nigel Larmour,P045923654,Current,SenMan,Senior management
,,,Mr Kristian Von Bengtson,P263446458,Current,SenMan,Senior management
912.,INFASUR AERONAUTICA SL,ESB11547650,MECANIZADOS Y MONTAJES AERONAUTICOS SA,CVA9020765,Current,BoD,Board of Directors
,,,MECANIZADOS Y MONTAJES AERONAUTICOS SA,CVA9020765,Current,SenMan,Senior management
,,,Mr Dionisio Matute Sainz,P388929545,Current,FinAcc,Finance & Accounting
,,,Reyes Romeral Trujillo,P674809629,Current,Sales,Sales & Retail
,,,Mr Servando Garrucho Rodriguez,P699357622,Current,MarkAdv,Marketing & Advertising
,,,Ms Mari Carmen Bergeles Blanca,P699357623,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Luis Pizarro Teno,P157220509,Current,OthDep,Other or unspecified department
913.,F & N COMPOSITI S.R.L.S,IT02833280593,Ms Ilaria Serrapica,P120517216,Current,SenMan,Senior management
914.,PAYLOAD AEROSPACE SL.,ESB54585351,BINOMIO VENTURES SL,C145492562,Current,BoD,Board of Directors
,,,Mr Luis Vicente Sanchez Pastor,P380366009,Current,BoD,Board of Directors
,,,Mr Luis Vicente Sanchez Pastor,P380366009,Current,SenMan,Senior management
,,,ACITURRI AERONAUTICA SL,CVA0157626,Current,BoD,Board of Directors
,,,Ms Maria Teresa Alvarez Jodra,P002668541,Current,BoD,Board of Directors
,,,JME VENTURE CAPITAL SGEIC SA,C286710462,Current,BoD,Board of Directors
,,,PAULUS VENTURES SL,C379243756,Current,BoD,Board of Directors
,,,Mr Gener Romeu Guardia,P042198321,Current,BoD,Board of Directors
,,,VALECTRA GLOBAL SCR SA,C511026067,Current,BoD,Board of Directors
,,,Ms Laura Carmen Vicente Gomez,P119129881,Current,BoD,Board of Directors
,,,Ms Laura Carmen Vicente Gomez,P119129881,Current,SenMan,Senior management
,,,Mr Raul Torres Berenguer,P117517485,Current,SenMan,Senior management
,,,Mr Raul Verdu Lidon,P382027736,Current,FinAcc,Finance & Accounting
,,,Mr Pablo Gallego Sanmiguel,P646133960,Current,Sales,Sales & Retail
915.,CMIG AIRCRAFT LEASING NINE IRELAND LIMITED,IE602758,Mr Gregory Cumming,P597129605,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Michael Sharkey,P621009350,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Morgan Sheehy,P072860452,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Yong Shen,P736568570,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Johanna Kirsten Taylor,P121367548,Current,"BoD,SenMan",Board of Directors; Senior management
,,,WALKERS CORPORATE SERVICES (IRELAND) LIMITED,C286301788,Current,SenMan,Senior management
916.,PELEGRIN SIA,LV010350869,Mr Igors Kusnercuks,P007419217,Current,BoD,Board of Directors
,,,Mr Aivars Lejietis,P007419218,Current,BoD,Board of Directors
,,,Mr Kaspars Cveigelis,P086740185,Current,SenMan,Senior management
,,,Andris Spure,P673604993,Current,SenMan,Senior management
917.,TRIDENT TURBOPROP (DUBLIN) DESIGNATED ACTIVITY COMPANY,IE214352,Mr Samuel John Maguire,P722450643,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Claire O'Donovan,P369834298,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
918.,FLY-R,FR797914454,Mr Francois Varigas,P180368072,Current,BoD,Board of Directors
919.,HIPERSFERA D.O.O.,HR88714170137,Mr Josip Konjevod,P382138508,Current,SenMan,Senior management
,,,Mr Bojan Pecnik,P421157860,Current,OthDep,Other or unspecified department
920.,"ROKO AERO, A.S.",CZ27748588,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria,No data fulfill your filter criteria
921.,HKAC LEASING 6291 (IRELAND) LIMITED,IE564549,Mr Daniel Coleman Byrne,P611716041,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Fionn Crowley,P699280182,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Enda Oaodonnell,P699280183,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Jammes Outram,P188443756,Current,"BoD,SenMan",Board of Directors; Senior management
,,,AVOLON CORPORATE SERVICES LIMITED,C165164126,Current,SenMan,Senior management
922.,AIRFORESTRY AB,SE5592468085,Mr Mauritz Andersson,P413827286,Current,BoD,Board of Directors
,,,Mr Olle Gelin,P645677865,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Markus Johan Erik Romar,P222637372,Current,BoD,Board of Directors
,,,Mr Bengt Walerud,P043966238,Current,BoD,Board of Directors
,,,Ms Caroline Walerud,P153069831,Current,BoD,Board of Directors
923.,OZ ADONIS DESIGNATED ACTIVITY COMPANY,IE611957,Mr Anthony John Finegan,P380371122,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Hugh Holland,P516259757,Current,"BoD,SenMan",Board of Directors; Senior management
,,,WALKERS CORPORATE SERVICES (IRELAND) LIMITED,C286301788,Current,SenMan,Senior management
924.,START IRELAND LEASING 1 LIMITED,IE627276,Mr Colin Hayes,P007169755,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Matthew John McMahon,P041679763,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Elihu Fowler Robertson,P438219129,Current,"BoD,SenMan",Board of Directors; Senior management
,,,PAFS IRELAND LIMITED,CVA0ADRBFN,Current,SenMan,Senior management
925.,CRIZANT CONCEPT SL,ESB38961009,AIRCOMP SOCIEDAD LIMITADA,CVA0088940,Current,BoD,Board of Directors
,,,Mr Crisanto Gutierrez Alonso,P200566224,Current,BoD,Board of Directors
,,,Ms Maria Elena Lopez Melian,P043058698,Current,BoD,Board of Directors
926.,BZB UAS SP. Z O.O.,PL366484052,Mr Kacper Budnik,P386817784,Current,ExeB,Executive Board
,,,Mr Jan Byrtek,P093059713,Current,ExeB,Executive Board
927.,MIRUS AIRCRAFT SEATING LTD,GB09435825,Mr Benjamin Bruce McGuire,P349803378,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Benjamin Bruce McGuire,P349803378,Current,SenMan,Senior management
,,,Mr Duncan Whitworth Bell,P104615561,Current,SenMan,Senior management
,,,Ms Lyndsay Whiteman,P735638191,Current,FinAcc,Finance & Accounting
,,,Mr Neil Mancer,P735638178,Current,AdmDep,Administration department
,,,Ms Marcia Pereira,P735638174,Current,AdmDep,Administration department
,,,Mr Philip Swanson,P735638172,Current,Sales,Sales & Retail
,,,Mr Miroslav Petrovic,P412531760,Current,R&D,Research & Development / Engineering
,,,Mr Nick Clarkson,P725746651,Current,R&D,Research & Development / Engineering
,,,Mr David Dewis,P694799280,Current,R&D,Research & Development / Engineering
,,,Mr Scott Learmonth,P725746652,Current,R&D,Research & Development / Engineering
,,,Mr Bryan Mitcham,P690676525,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr David Catchpole,P690676524,Current,Oper,Operations & Production & Manufacturing
,,,Mr Barry Gelder,P694799279,Current,Oper,Operations & Production & Manufacturing
,,,Mr Shaun Hudson,P701332139,Current,Oper,Operations & Production & Manufacturing
,,,Mr Kristian Jones,P735638177,Current,Oper,Operations & Production & Manufacturing
,,,Mr Joseph Anthony Lloyd Marriott,P088233000,Current,Oper,Operations & Production & Manufacturing
,,,Mr Povilas Ringaila,P370684806,Current,Oper,Operations & Production & Manufacturing
,,,Mr Adam Wright,P735638190,Current,Oper,Operations & Production & Manufacturing
,,,Mr Trevor Bax,P735638183,Current,Proc,Purchasing & Procurement
,,,Chervyn Chin,P735638173,Current,Proc,Purchasing & Procurement
,,,Ms Helena Dobbs,P735638175,Current,Proc,Purchasing & Procurement
,,,Mr James Jenkerson,P701332142,Current,Proc,Purchasing & Procurement
,,,Mr Karl Robinson,P735638171,Current,Proc,Purchasing & Procurement
,,,Titilope Aigoro,P725746660,Current,OthDep,Other or unspecified department
,,,Ms Heidi Bailey,P725746655,Current,OthDep,Other or unspecified department
